Country,Type,Rank,Feature,Importance
KSV,BEINGBULLIED,6,ST207Q04HA,0.027986005
KSV,BEINGBULLIED,7,ST207Q05HA,0.027760262
KSV,BEINGBULLIED,8,SCREADDIFF,0.026161078
KSV,BEINGBULLIED,9,ST206Q01HA,0.024544118
KSV,BEINGBULLIED,10,JOYREAD,0.02360776
LTU,BEINGBULLIED,1,BELONG,0.06558317
LTU,BEINGBULLIED,2,PV1READ,0.049310695
LTU,BEINGBULLIED,3,ST207Q03HA,0.044215277
LTU,BEINGBULLIED,4,ST004D01T,0.04137281
LTU,BEINGBULLIED,5,EMOSUPS,0.039590616
LTU,BEINGBULLIED,6,ST207Q04HA,0.03534929
LTU,BEINGBULLIED,7,ST207Q05HA,0.03225233
LTU,BEINGBULLIED,8,DISCLIMA,0.031817853
LTU,BEINGBULLIED,9,PERCOOP,0.031528234
LTU,BEINGBULLIED,10,ST207Q02HA,0.031327244
LUX,BEINGBULLIED,1,BELONG,0.10377694
LUX,BEINGBULLIED,2,SWBP,0.03500732
LUX,BEINGBULLIED,3,ATTLNACT,0.029227832
LUX,BEINGBULLIED,4,ST004D01T,0.028855054
LUX,BEINGBULLIED,5,DISCLIMA,0.027883533
LUX,BEINGBULLIED,6,ST185Q01HA,0.027025186
LUX,BEINGBULLIED,7,ST207Q05HA,0.026430983
LUX,BEINGBULLIED,8,ST207Q03HA,0.025642723
LUX,BEINGBULLIED,9,PERCOMP,0.025515243
LUX,BEINGBULLIED,10,PV1READ,0.025405258
LVA,BEINGBULLIED,1,BELONG,0.08620642
LVA,BEINGBULLIED,2,ST004D01T,0.05162108
LVA,BEINGBULLIED,3,DISCLIMA,0.040093563
LVA,BEINGBULLIED,4,ST184Q01HA,0.039353788
LVA,BEINGBULLIED,5,PV1READ,0.03570845
LVA,BEINGBULLIED,6,EMOSUPS,0.028992448
LVA,BEINGBULLIED,7,PERCOMP,0.02852891
LVA,BEINGBULLIED,8,PV1MATH,0.026285604
LVA,BEINGBULLIED,9,GFOFAIL,0.023536084
LVA,BEINGBULLIED,10,ST207Q03HA,0.022229118
MAC,BEINGBULLIED,1,BELONG,0.078768484
MAC,BEINGBULLIED,2,ST004D01T,0.07252844
MAC,BEINGBULLIED,3,EDUSHORT,0.036535945
MAC,BEINGBULLIED,4,DISCLIMA,0.03476229
MAC,BEINGBULLIED,5,PV1READ,0.03451072
MAC,BEINGBULLIED,6,ST207Q01HA,0.03263236
MAC,BEINGBULLIED,7,ST207Q05HA,0.028885396
MAC,BEINGBULLIED,8,PERCOMP,0.026951427
MAC,BEINGBULLIED,9,GFOFAIL,0.02538013
MAC,BEINGBULLIED,10,ST206Q01HA,0.024476776
MAR,BEINGBULLIED,1,BELONG,0.0572668
MAR,BEINGBULLIED,2,ST207Q03HA,0.03793474
MAR,BEINGBULLIED,3,ST004D01T,0.035274994
MAR,BEINGBULLIED,4,PV1READ,0.033847366
MAR,BEINGBULLIED,5,GFOFAIL,0.029701505
MAR,BEINGBULLIED,6,EMOSUPS,0.029279117
MAR,BEINGBULLIED,7,PERCOOP,0.029090043
MAR,BEINGBULLIED,8,ST207Q02HA,0.026366143
MAR,BEINGBULLIED,9,WORKMAST,0.026281746
MAR,BEINGBULLIED,10,ST207Q05HA,0.026235117
MDA,BEINGBULLIED,1,BELONG,0.08806297
MDA,BEINGBULLIED,2,DISCLIMA,0.04015884
MDA,BEINGBULLIED,3,ST206Q01HA,0.03209734
MDA,BEINGBULLIED,4,SCREADDIFF,0.031484913
MDA,BEINGBULLIED,5,EMOSUPS,0.03016529
MDA,BEINGBULLIED,6,PERCOOP,0.028397452
MDA,BEINGBULLIED,7,ST207Q01HA,0.028116642
MDA,BEINGBULLIED,8,GFOFAIL,0.026911857
MDA,BEINGBULLIED,9,PERCOMP,0.025881043
MDA,BEINGBULLIED,10,PV1READ,0.024780272
MEX,BEINGBULLIED,1,BELONG,0.08361916
MEX,BEINGBULLIED,2,EMOSUPS,0.04297562
MEX,BEINGBULLIED,3,ST207Q01HA,0.04194347
MEX,BEINGBULLIED,4,ST207Q04HA,0.03266428
MEX,BEINGBULLIED,5,DISCLIMA,0.032191675
MEX,BEINGBULLIED,6,ST004D01T,0.030929131
MEX,BEINGBULLIED,7,ST206Q01HA,0.027156597
MEX,BEINGBULLIED,8,ST207Q05HA,0.026057879
MEX,BEINGBULLIED,9,GFOFAIL,0.025846304
MEX,BEINGBULLIED,10,SWBP,0.025737816
MLT,BEINGBULLIED,1,BELONG,0.09814189
MLT,BEINGBULLIED,2,ST004D01T,0.06269072
MLT,BEINGBULLIED,3,EMOSUPS,0.037812047
MLT,BEINGBULLIED,4,DISCLIMA,0.03479144
MLT,BEINGBULLIED,5,REPEAT,0.029243276
MLT,BEINGBULLIED,6,ST207Q01HA,0.023369933
MLT,BEINGBULLIED,7,GFOFAIL,0.02246796
MLT,BEINGBULLIED,8,PERCOMP,0.022341186
MLT,BEINGBULLIED,9,METASUM,0.022271741
MLT,BEINGBULLIED,10,EUDMO,0.022124518
MNE,BEINGBULLIED,1,BELONG,0.064287424
MNE,BEINGBULLIED,2,EMOSUPS,0.04616071
MNE,BEINGBULLIED,3,ST004D01T,0.043044787
MNE,BEINGBULLIED,4,REPEAT,0.036541905
MNE,BEINGBULLIED,5,ST207Q04HA,0.036533896
MNE,BEINGBULLIED,6,ST207Q02HA,0.035991903
MNE,BEINGBULLIED,7,SCREADDIFF,0.035590515
MNE,BEINGBULLIED,8,GFOFAIL,0.030659003
MNE,BEINGBULLIED,9,SWBP,0.029597964
MNE,BEINGBULLIED,10,DISCLIMA,0.028920075
MYS,BEINGBULLIED,1,BELONG,0.082652695
