Country,Type,Prevalence
QMR,BEINGBULLIED,0.37654532791642487
QMR,BULLY_VERBAL,0.15922619047619047
QMR,BULLY_THREAT,0.1076388888888889
QMR,BULLY_PHYSICAL,0.1453373015873016
QMR,BULLY_RELATIONAL,0.14732142857142858
QRT,BEINGBULLIED,0.37360310840055083
QRT,BULLY_VERBAL,0.1624828060522696
QRT,BULLY_THREAT,0.1047111416781293
QRT,BULLY_PHYSICAL,0.15474552957359008
QRT,BULLY_RELATIONAL,0.13995873452544705
ROU,BEINGBULLIED,0.3027643665158371
ROU,BULLY_VERBAL,0.1554679802955665
ROU,BULLY_THREAT,0.10187192118226601
ROU,BULLY_PHYSICAL,0.17044334975369457
ROU,BULLY_RELATIONAL,0.14108374384236452
RUS,BEINGBULLIED,0.34591815047021945
RUS,BULLY_VERBAL,0.14037854889589904
RUS,BULLY_THREAT,0.09739747634069401
RUS,BULLY_PHYSICAL,0.13301787592008413
RUS,BULLY_RELATIONAL,0.12434279705573081
SAU,BEINGBULLIED,0.025657091391733017
SAU,BULLY_VERBAL,0.11196219035202086
SAU,BULLY_THREAT,0.09729465449804432
SAU,BULLY_PHYSICAL,0.1502607561929596
SAU,BULLY_RELATIONAL,0.13070404172099087
SGP,BEINGBULLIED,0.2621820065944418
SGP,BULLY_VERBAL,0.1938286399041342
SGP,BULLY_THREAT,0.04988016776512882
SGP,BULLY_PHYSICAL,0.08118633912522469
SGP,BULLY_RELATIONAL,0.08328340323547034
SRB,BEINGBULLIED,-0.09992129571577849
SRB,BULLY_VERBAL,0.08836435164170071
SRB,BULLY_THREAT,0.08049629293387804
SRB,BULLY_PHYSICAL,0.10485701316386746
SRB,BULLY_RELATIONAL,0.11378423362082009
SVK,BEINGBULLIED,0.06987063142437591
SVK,BULLY_VERBAL,0.10360435875943001
SVK,BULLY_THREAT,0.07812238055322716
SVK,BULLY_PHYSICAL,0.1233864207879296
SVK,BULLY_RELATIONAL,0.1310980720871752
SVN,BEINGBULLIED,-0.062232152974504254
SVN,BULLY_VERBAL,0.09279800031245118
SVN,BULLY_THREAT,0.05639743790032807
SVN,BULLY_PHYSICAL,0.09889079831276364
SVN,BULLY_RELATIONAL,0.0952976097484768
SWE,BEINGBULLIED,-0.11732926880368741
SWE,BULLY_VERBAL,0.10374273255813954
SWE,BULLY_THREAT,0.03561046511627907
SWE,BULLY_PHYSICAL,0.0728561046511628
SWE,BULLY_RELATIONAL,0.0650436046511628
TAP,BEINGBULLIED,-0.36902295664534474
TAP,BULLY_VERBAL,0.0878089189562336
TAP,BULLY_THREAT,0.01767223526163192
TAP,BULLY_PHYSICAL,0.05287864144691426
TAP,BULLY_RELATIONAL,0.0432141377882093
THA,BEINGBULLIED,0.14184626973604914
THA,BULLY_VERBAL,0.17989111548708445
THA,BULLY_THREAT,0.10540947526931542
THA,BULLY_PHYSICAL,0.14039152090814316
THA,BULLY_RELATIONAL,0.12788138538167496
TUR,BEINGBULLIED,-0.0436401685823755
TUR,BULLY_VERBAL,0.12423802612481857
TUR,BULLY_THREAT,0.08156748911465893
TUR,BULLY_PHYSICAL,0.11248185776487664
TUR,BULLY_RELATIONAL,0.12148040638606676
UKR,BEINGBULLIED,-0.031590615660490144
UKR,BULLY_VERBAL,0.09019673224408135
UKR,BULLY_THREAT,0.060520173391130375
UKR,BULLY_PHYSICAL,0.08986328776258753
UKR,BULLY_RELATIONAL,0.09436478826275425
URY,BEINGBULLIED,0.07639993024066968
URY,BULLY_VERBAL,0.07714231426942808
URY,BULLY_THREAT,0.0482614478434353
URY,BULLY_PHYSICAL,0.07524225726771804
URY,BULLY_RELATIONAL,0.07695230856925708
USA,BEINGBULLIED,0.15291235632183908
USA,BULLY_VERBAL,0.16122364613476645
USA,BULLY_THREAT,0.062422488631665975
USA,BULLY_PHYSICAL,0.0715171558495246
USA,BULLY_RELATIONAL,0.10004133939644481
VNM,BEINGBULLIED,0.08237471482889734
VNM,BULLY_VERBAL,0.13613539148223916
VNM,BULLY_THREAT,0.056351125162730144
VNM,BULLY_PHYSICAL,0.1655198065835968
VNM,BULLY_RELATIONAL,0.08647944950716013
